Nr.;Bezirk;Ortsteile;Flächein km²;Einwohner[2](30. Juni 2019);Einwohnerpro km²(30. Juni 2019);Bezirks­bürger­meister[3];Karte
1;Berlin Mitte;0101 Mitte0102 Moabit0103 Hansaviertel0104 Tiergarten0105 Wedding0106 Gesundbrunnen;39,47;384.172;9.733;Stephan von Dassel (Grüne);LageBerlin Mitte.svg
2;Berlin Friedrichshain-Kreuzberg;0201 Friedrichshain0202 Kreuzberg;20,16;289.762;14.373;Monika Herrmann (Grüne);LageBerlin Friedrichshain-Kreuzberg.svg
3;Berlin Pankow;0301 Prenzlauer Berg0302 Weißensee0303 Blankenburg0304 Heinersdorf0305 Karow0306 Stadtrandsiedlung Malchow0307 Pankow0308 Blankenfelde0309 Buch0310 Französisch Buchholz0311 Niederschönhausen0312 Rosenthal0313 Wilhelmsruh;103,01;407.765;3.958;Sören Benn (Die Linke);LageBerlin Pankow.svg
4;Berlin Charlottenburg-Wilmersdorf;0401 Charlottenburg0402 Wilmersdorf0403 Schmargendorf0404 Grunewald0405 Westend0406 Charlottenburg-Nord0407 Halensee;64,72;342.332;5.289;Reinhard Naumann (SPD);LageBerlin Charlottenburg-Wilmersdorf.svg
5;Berlin Spandau;0501 Spandau0502 Haselhorst0503 Siemensstadt0504 Staaken0505 Gatow0506 Kladow0507 Hakenfelde0508 Falkenhagener Feld0509 Wilhelmstadt;91,91;243.977;2.655;Helmut Kleebank (SPD);LageBerlin Spandau.svg
6;Berlin Steglitz-Zehlendorf;0601 Steglitz0602 Lichterfelde0603 Lankwitz0604 Zehlendorf0605 Dahlem0606 Nikolassee0607 Wannsee;102,50;308.697;3.012;Cerstin Richter-Kotowski (CDU);LageBerlin Steglitz-Zehlendorf.svg
7;Berlin Tempelhof-Schöneberg;0701 Schöneberg0702 Friedenau0703 Tempelhof0704 Mariendorf0705 Marienfelde0706 Lichtenrade;53,09;351.644;6.624;Angelika Schöttler (SPD);LageBerlin Tempelhof-Schöneberg.svg
8;Berlin Neukölln;0801 Neukölln0802 Britz0803 Buckow0804 Rudow0805 Gropiusstadt;44,93;329.691;7.338;Martin Hikel (SPD);LageBerlin Neukölln.svg
9;Berlin Treptow-Köpenick;0901 Alt-Treptow0902 Plänterwald0903 Baumschulenweg0904 Johannisthal0905 Niederschöneweide0906 Altglienicke0907 Adlershof0908 Bohnsdorf0909 Oberschöneweide0910 Köpenick0911 Friedrichshagen0912 Rahnsdorf0913 Grünau0914 Müggelheim0915 Schmöckwitz;168,42;271.153;1.610;Oliver Igel (SPD);LageBerlin Treptow-Köpenick.svg
10;Berlin Marzahn-Hellersdorf;1001 Marzahn1002 Biesdorf1003 Kaulsdorf1004 Mahlsdorf1005 Hellersdorf;61,74;268.548;4.350;Dagmar Pohle (Die Linke);LageBerlin Marzahn-Hellersdorf.svg
11;Berlin Lichtenberg;1101 Friedrichsfelde1102 Karlshorst1103 Lichtenberg1104 Falkenberg1105 ehemals Hohenschönhausen (aufgeteilt)1106 Malchow1107 Wartenberg1109 Neu-Hohenschönhausen1110 Alt-Hohenschönhausen1111 Fennpfuhl1112 Rummelsburg;52,29;291.452;5.574;Michael Grunst (Die Linke);LageBerlin Lichtenberg.svg
12;Berlin Reinickendorf;1201 Reinickendorf1202 Tegel1203 Konradshöhe1204 Heiligensee1205 Frohnau1206 Hermsdorf1207 Waidmannslust1208 Lübars1209 Wittenau1210 Märkisches Viertel1211 Borsigwalde;89,46;265.225;2.965;Frank Balzer (CDU);LageBerlin Reinickendorf.svg