ags;community_nam;population_number;population_density
08425;Alb-Donau-Kreis;192104;141
15081;Altmarkkreis Salzwedel;86878;37
09361;Amberg;41970;8
09561;Ansbach;41847;418
09661;Aschaffenburg;70527;1129
09761;Augsburg;295135;2009
08211;Baden-Baden;55123;393
09461;Bamberg;77592;155184
09461;Bamberg;77592;1420
09462;Bayreuth;74657;1116
11000;Berlin;3644826;4090
05711;Bielefeld;333786;1289
05911;Bochum;364628;2503
08435;Bodenseekreis;205843;309
05314;Bonn;327258;2319
05512;Bottrop;117383;1166
12051;Brandenburg an der Havel;72124;315
12051;Brandenburg an der Havel;72124;313
03101;Braunschweig;248292;1288
04011;Bremen;569352;1745
04012;Bremerhaven;113634;1213
14511;Chemnitz;247235;1118
09463;Coburg;41249;854
09463;Coburg;41249;854
12052;Cottbus;100219;610
12052;Cottbus;100219;605
06411;Darmstadt;159207;1304
03401;Delmenhorst;77607;1242
15001;Dessau-Roßlau;81237;331
15001;Dessau-Roßlau;81237;331
07333;Donnersbergkreis;75508;116
05913;Dortmund;587010;2091
14612;Dresden;554649;1688
05112;Duisburg;498590;2141
05111;Düsseldorf;619294;2848
07232;Eifelkreis Bitburg-Prüm;95946;59
16056;Eisenach;42370;406
03402;Emden;50195;446
05954;Ennepe-Ruhr-Kreis;322731;790
16051;Erfurt;213699;791
09562;Erlangen;111962;1454
09562;Erlangen;111962;0
05113;Essen;583109;2772
01001;Flensburg;89504;1577
07311;Frankenthal;48561;1106
12053;Frankfurt (Oder);57873;391
12053;Frankfurt (Oder);57873;0
06412;Frankfurt am Main;753056;3032
08311;Freiburg im Breisgau;230241;1504
09563;Fürth;127748;2016
05513;Gelsenkirchen;260654;2483
16052;Gera;94152;618
05914;Hagen;188814;1176
15002;Halle (Saale);239257;1771
02000;Hamburg;1841179;2438
05915;Hamm;179111;791
08221;Heidelberg;160355;1472
08121;Heilbronn;125960;1260
05916;Herne;156374;3041
05958;Hochsauerlandkreis;268851;137
09464;Hof;45930;791
09464;Hof;45930;791
08126;Hohenlohekreis;110181;141
16070;Ilm-Kreis;109620;129
09161;Ingolstadt;136981;1027
16053;Jena;111407;970
07312;Kaiserslautern;99845;714
07312;Kaiserslautern;99845;714
08212;Karlsruhe;313092;1805
06611;Kassel;201585;1887
09762;Kaufbeuren;43893;1097
09762;Kaufbeuren;43893;1096
09763;Kempten;68907;275628
09763;Kempten;68907;1088
09763;Kempten;68907;1088
01002;Kiel;247548;2086
07111;Koblenz;114024;1083
07111;Koblenz;114024;0
05114;Krefeld;227020;1647
06431;Kreis Bergstraße;261695;363
06133;Kreis Biedenkopf;65000;159
06433;Kreis Groß-Gerau;254883;562
01053;Kreis Herzogtum Lauenburg;192999;152
01054;Kreis Nordfriesland;163960;78
05138;Kreis Rees;122300;231
01060;Kreis Segeberg;272235;202
05970;Kreis Siegen-Wittgenstein;275909;243
05840;Kreis Soest;123700;194
01062;Kreis Stormarn;236705;308
05842;Kreis Wittgenstein;45500;93
16065;Kyffhäuserkreis;77110;74
05315;Köln;1085664;2680
06532;Lahn-Dill-Kreis;252106;236
07313;Landau in der Pfalz;46677;562
07131;Landkreis Ahrweiler;125837;159
09131;Landkreis Aichach;39411;50
09131;Landkreis Aichach;39411;0
09131;Landkreis Aichach;39411;0
09131;Landkreis Aichach;39411;0
09131;Landkreis Aichach;39411;0
09131;Landkreis Aichach;39411;0
09771;Landkreis Aichach-Friedberg;128435;164
16077;Landkreis Altenburger Land;91607;160
07132;Landkreis Altenkirchen (Westerwald);129166;201
09171;Landkreis Altötting;109422;192
07331;Landkreis Alzey-Worms;125173;212
09331;Landkreis Amberg;46987;64
09331;Landkreis Amberg;46987;0
09331;Landkreis Amberg;46987;0
09331;Landkreis Amberg;46987;0
09331;Landkreis Amberg;46987;0
09331;Landkreis Amberg;46987;0
09371;Landkreis Amberg-Sulzbach;94617;75
03451;Landkreis Ammerland;122698;168
15082;Landkreis Anhalt-Bitterfeld;168475;115
09571;Landkreis Ansbach;157632;79
09671;Landkreis Aschaffenburg;152367;217
09772;Landkreis Augsburg;251534;234
03452;Landkreis Aurich;190066;147
09133;Landkreis Bad Aibling;42605;1
09133;Landkreis Bad Aibling;42605;1
09133;Landkreis Bad Aibling;42605;1
09133;Landkreis Bad Aibling;42605;1
07332;Landkreis Bad Dürkheim;130927;220
09672;Landkreis Bad Kissingen;99022;87
07133;Landkreis Bad Kreuznach;155306;179
09134;Landkreis Bad Tölz;36381;0
09173;Landkreis Bad Tölz-Wolfratshausen;126572;113
09471;Landkreis Bamberg;119829;250
09471;Landkreis Bamberg;119829;102
09471;Landkreis Bamberg;119829;2
09471;Landkreis Bamberg;119829;2
09471;Landkreis Bamberg;119829;2
09471;Landkreis Bamberg;119829;1
09471;Landkreis Bamberg;119829;1
12060;Landkreis Barnim;173193;116236
14625;Landkreis Bautzen;304691;127
09472;Landkreis Bayreuth;96772;217
09472;Landkreis Bayreuth;96772;76
09472;Landkreis Bayreuth;96772;2
09472;Landkreis Bayreuth;96772;2
09472;Landkreis Bayreuth;96772;2
09472;Landkreis Bayreuth;96772;1
09472;Landkreis Bayreuth;96772;1
09332;Landkreis Beilngries;16322;0
09135;Landkreis Berchtesgaden;37519;59
09135;Landkreis Berchtesgaden;37519;0
09135;Landkreis Berchtesgaden;37519;0
09135;Landkreis Berchtesgaden;37519;0
09135;Landkreis Berchtesgaden;37519;0
09135;Landkreis Berchtesgaden;37519;0
09172;Landkreis Berchtesgadener Land;90689;107
07231;Landkreis Bernkastel-Wittlich;110833;94
08426;Landkreis Biberach;194019;137
08426;Landkreis Biberach;194019;137
07134;Landkreis Birkenfeld;81135;104
09231;Landkreis Bogen;30732;59
09231;Landkreis Bogen;30732;0
09231;Landkreis Bogen;30732;0
09231;Landkreis Bogen;30732;0
09231;Landkreis Bogen;30732;0
09231;Landkreis Bogen;30732;0
09231;Landkreis Bogen;31553;61
09231;Landkreis Bogen;31553;0
09231;Landkreis Bogen;31553;0
09231;Landkreis Bogen;31553;0
09231;Landkreis Bogen;31553;0
09231;Landkreis Bogen;31553;0
09231;Landkreis Bogen;32227;62
09231;Landkreis Bogen;32227;0
09231;Landkreis Bogen;32227;0
09231;Landkreis Bogen;32227;0
09231;Landkreis Bogen;32227;0
09231;Landkreis Bogen;32227;0
09231;Landkreis Bogen;32330;62
09231;Landkreis Bogen;32330;0
09231;Landkreis Bogen;32330;0
09231;Landkreis Bogen;32330;0
09231;Landkreis Bogen;32330;0
09231;Landkreis Bogen;32330;0
09231;Landkreis Bogen;35149;68
09231;Landkreis Bogen;35149;0
09231;Landkreis Bogen;35149;0
09231;Landkreis Bogen;35149;0
09231;Landkreis Bogen;35149;0
09231;Landkreis Bogen;35149;0
09231;Landkreis Bogen;39893;77
09231;Landkreis Bogen;39893;0
09231;Landkreis Bogen;39893;0
09231;Landkreis Bogen;39893;0
09231;Landkreis Bogen;39893;0
09231;Landkreis Bogen;39893;0
08315;Landkreis Breisgau-Hochschwarzwald;247711;179
09333;Landkreis Burglengenfeld;26912;0
09333;Landkreis Burglengenfeld;26912;0
09333;Landkreis Burglengenfeld;42019;92
09333;Landkreis Burglengenfeld;42019;1
09333;Landkreis Burglengenfeld;42019;1
09333;Landkreis Burglengenfeld;42019;0
09333;Landkreis Burglengenfeld;42019;0
09333;Landkreis Burglengenfeld;42019;0
09333;Landkreis Burglengenfeld;46256;101
09333;Landkreis Burglengenfeld;46256;1
09333;Landkreis Burglengenfeld;46256;1
09333;Landkreis Burglengenfeld;46256;1
09333;Landkreis Burglengenfeld;46256;1
09333;Landkreis Burglengenfeld;46256;1
09333;Landkreis Burglengenfeld;5407;11
09333;Landkreis Burglengenfeld;5407;0
09333;Landkreis Burglengenfeld;5407;0
09333;Landkreis Burglengenfeld;5407;0
09333;Landkreis Burglengenfeld;5407;0
09333;Landkreis Burglengenfeld;5407;0
09333;Landkreis Burglengenfeld;22359;49
09333;Landkreis Burglengenfeld;22359;0
09333;Landkreis Burglengenfeld;22359;0
09333;Landkreis Burglengenfeld;22359;0
09333;Landkreis Burglengenfeld;22359;0
09333;Landkreis Burglengenfeld;22359;0
09333;Landkreis Burglengenfeld;26477;58
09333;Landkreis Burglengenfeld;26477;0
09333;Landkreis Burglengenfeld;26477;0
09333;Landkreis Burglengenfeld;26477;0
09333;Landkreis Burglengenfeld;26477;0
09333;Landkreis Burglengenfeld;26477;0
09333;Landkreis Burglengenfeld;26912;59
09333;Landkreis Burglengenfeld;26912;0
09333;Landkreis Burglengenfeld;26912;0
09333;Landkreis Burglengenfeld;26912;0
08115;Landkreis Böblingen;381281;617
15083;Landkreis Börde;174001;73
06134;Landkreis Büdingen;18960;26
06134;Landkreis Büdingen;18960;25
06134;Landkreis Büdingen;39032;53
06134;Landkreis Büdingen;39032;53
06134;Landkreis Büdingen;40827;56
06134;Landkreis Büdingen;40827;55
06134;Landkreis Büdingen;44648;61
06134;Landkreis Büdingen;44648;61
06134;Landkreis Büdingen;60139;83
06134;Landkreis Büdingen;60139;82
06134;Landkreis Büdingen;82563;114
06134;Landkreis Büdingen;82563;113
06134;Landkreis Büdingen;87800;121
06134;Landkreis Büdingen;87800;120
06134;Landkreis Büdingen;88101;121
06134;Landkreis Büdingen;88101;120
06134;Landkreis Büdingen;88308;122
06134;Landkreis Büdingen;88308;121
06134;Landkreis Büdingen;18960;38
06134;Landkreis Büdingen;18960;38
06134;Landkreis Büdingen;18960;26
06134;Landkreis Büdingen;39032;79
06134;Landkreis Büdingen;39032;79
06134;Landkreis Büdingen;39032;55
06134;Landkreis Büdingen;40827;83
06134;Landkreis Büdingen;40827;83
06134;Landkreis Büdingen;40827;57
06134;Landkreis Büdingen;44648;90
06134;Landkreis Büdingen;44648;90
06134;Landkreis Büdingen;44648;63
06134;Landkreis Büdingen;60139;122
06134;Landkreis Büdingen;60139;122
06134;Landkreis Büdingen;60139;85
06134;Landkreis Büdingen;82563;168
06134;Landkreis Büdingen;82563;167
06134;Landkreis Büdingen;82563;116
06134;Landkreis Büdingen;87800;178
06134;Landkreis Büdingen;87800;178
06134;Landkreis Büdingen;87800;124
06134;Landkreis Büdingen;88101;179
06134;Landkreis Büdingen;88101;179
06134;Landkreis Büdingen;88101;124
06134;Landkreis Büdingen;88308;179
06134;Landkreis Büdingen;88308;179
06134;Landkreis Büdingen;88308;125
08235;Landkreis Calw;150709;188
03351;Landkreis Celle;178370;114
09372;Landkreis Cham;121401;80
14018;Landkreis Chemnitz;99126;371
14173;Landkreis Chemnitzer Land;132159;393
03453;Landkreis Cloppenburg;165930;117
09473;Landkreis Coburg;82033;138
09473;Landkreis Coburg;82033;1
09473;Landkreis Coburg;82033;1
09473;Landkreis Coburg;82033;1
07135;Landkreis Cochem-Zell;63475;91
03352;Landkreis Cuxhaven;198670;96
09174;Landkreis Dachau;152703;263
12061;Landkreis Dahme-Spreewald;160314;70935
06432;Landkreis Darmstadt-Dieburg;284413;431
09271;Landkreis Deggendorf;115005;201
09271;Landkreis Deggendorf;115005;133
09271;Landkreis Deggendorf;115005;2
09271;Landkreis Deggendorf;115005;2
09271;Landkreis Deggendorf;115005;2
09271;Landkreis Deggendorf;115005;2
09271;Landkreis Deggendorf;115005;2
03251;Landkreis Diepholz;215082;108
09773;Landkreis Dillingen a. d. Donau;80209;101
09233;Landkreis Dingolfing;21075;50
09233;Landkreis Dingolfing;21075;0
09233;Landkreis Dingolfing;21075;0
09233;Landkreis Dingolfing;21075;0
09233;Landkreis Dingolfing;21075;0
09233;Landkreis Dingolfing;21075;0
09233;Landkreis Dingolfing;22087;53
09233;Landkreis Dingolfing;22087;0
09233;Landkreis Dingolfing;22087;0
09233;Landkreis Dingolfing;22087;0
09233;Landkreis Dingolfing;22087;0
09233;Landkreis Dingolfing;22087;0
09233;Landkreis Dingolfing;22436;54
09233;Landkreis Dingolfing;22436;0
09233;Landkreis Dingolfing;22436;0
09233;Landkreis Dingolfing;22436;0
09233;Landkreis Dingolfing;22436;0
09233;Landkreis Dingolfing;22436;0
09233;Landkreis Dingolfing;23049;55
09233;Landkreis Dingolfing;23049;0
09233;Landkreis Dingolfing;23049;0
09233;Landkreis Dingolfing;23049;0
09233;Landkreis Dingolfing;23049;0
09233;Landkreis Dingolfing;23049;0
09233;Landkreis Dingolfing;24300;58
09233;Landkreis Dingolfing;24300;0
09233;Landkreis Dingolfing;24300;0
09233;Landkreis Dingolfing;24300;0
09233;Landkreis Dingolfing;24300;0
09233;Landkreis Dingolfing;24300;0
09233;Landkreis Dingolfing;33897;81
09233;Landkreis Dingolfing;33897;0
09233;Landkreis Dingolfing;33897;0
09233;Landkreis Dingolfing;33897;0
09233;Landkreis Dingolfing;33897;0
09233;Landkreis Dingolfing;33897;0
09279;Landkreis Dingolfing-Landau;75517;86
09779;Landkreis Donau-Ries;117483;92
09434;Landkreis Ebermannstadt;22145;51
09434;Landkreis Ebermannstadt;22145;0
09434;Landkreis Ebermannstadt;22145;0
09434;Landkreis Ebermannstadt;22145;0
09434;Landkreis Ebermannstadt;22145;0
09434;Landkreis Ebermannstadt;22805;52
09434;Landkreis Ebermannstadt;22805;0
09434;Landkreis Ebermannstadt;22805;0
09434;Landkreis Ebermannstadt;22805;0
09434;Landkreis Ebermannstadt;22805;0
09434;Landkreis Ebermannstadt;24397;56
09434;Landkreis Ebermannstadt;24397;0
09434;Landkreis Ebermannstadt;24397;0
09434;Landkreis Ebermannstadt;24397;0
09434;Landkreis Ebermannstadt;24397;0
09434;Landkreis Ebermannstadt;25245;58
09434;Landkreis Ebermannstadt;25245;0
09434;Landkreis Ebermannstadt;25245;0
09434;Landkreis Ebermannstadt;25245;0
09434;Landkreis Ebermannstadt;25245;0
09434;Landkreis Ebermannstadt;26176;60
09434;Landkreis Ebermannstadt;26176;0
09434;Landkreis Ebermannstadt;26176;0
09434;Landkreis Ebermannstadt;26176;0
09434;Landkreis Ebermannstadt;26176;0
09434;Landkreis Ebermannstadt;30264;70
09434;Landkreis Ebermannstadt;30264;0
09434;Landkreis Ebermannstadt;30264;0
09434;Landkreis Ebermannstadt;30264;0
09434;Landkreis Ebermannstadt;30264;0
09175;Landkreis Ebersberg;96283;175
09175;Landkreis Ebersberg;96283;160
09175;Landkreis Ebersberg;96283;1
09175;Landkreis Ebersberg;96283;1
09175;Landkreis Ebersberg;96283;1
09175;Landkreis Ebersberg;96283;1
09175;Landkreis Ebersberg;96283;1
09234;Landkreis Eggenfelden;32051;48
09234;Landkreis Eggenfelden;32051;0
09234;Landkreis Eggenfelden;32051;0
09234;Landkreis Eggenfelden;32051;0
09234;Landkreis Eggenfelden;32051;0
09234;Landkreis Eggenfelden;32051;0
09234;Landkreis Eggenfelden;35213;53
09234;Landkreis Eggenfelden;35213;0
09234;Landkreis Eggenfelden;35213;0
09234;Landkreis Eggenfelden;35213;0
09234;Landkreis Eggenfelden;35213;0
09234;Landkreis Eggenfelden;35213;0
09234;Landkreis Eggenfelden;36392;55
09234;Landkreis Eggenfelden;36392;0
09234;Landkreis Eggenfelden;36392;0
09234;Landkreis Eggenfelden;36392;0
09234;Landkreis Eggenfelden;36392;0
09234;Landkreis Eggenfelden;36392;0
09234;Landkreis Eggenfelden;41776;63
09234;Landkreis Eggenfelden;41776;0
09234;Landkreis Eggenfelden;41776;0
09234;Landkreis Eggenfelden;41776;0
09234;Landkreis Eggenfelden;41776;0
09234;Landkreis Eggenfelden;41776;0
09234;Landkreis Eggenfelden;47499;72
09234;Landkreis Eggenfelden;47499;0
09234;Landkreis Eggenfelden;47499;0
09234;Landkreis Eggenfelden;47499;0
09234;Landkreis Eggenfelden;47499;0
09234;Landkreis Eggenfelden;47499;0
09234;Landkreis Eggenfelden;57691;87
09234;Landkreis Eggenfelden;57691;0
09234;Landkreis Eggenfelden;57691;0
09234;Landkreis Eggenfelden;57691;0
09234;Landkreis Eggenfelden;57691;0
09234;Landkreis Eggenfelden;57691;0
16061;Landkreis Eichsfeld;101325;107
09176;Landkreis Eichstätt;97347;80
12062;Landkreis Elbe-Elster;107649;56
08316;Landkreis Emmendingen;157399;231
03454;Landkreis Emsland;321391;111
09177;Landkreis Erding;89190;121
09177;Landkreis Erding;89190;102
09177;Landkreis Erding;89190;1
09177;Landkreis Erding;89190;1
09177;Landkreis Erding;89190;1
09177;Landkreis Erding;89190;1
09177;Landkreis Erding;89190;1
09572;Landkreis Erlangen-Höchstadt;134136;2
09335;Landkreis Eschenbach in der Oberpfalz;4669;9
09335;Landkreis Eschenbach in der Oberpfalz;4669;0
09335;Landkreis Eschenbach in der Oberpfalz;4669;0
09335;Landkreis Eschenbach in der Oberpfalz;4669;0
09335;Landkreis Eschenbach in der Oberpfalz;4669;0
09335;Landkreis Eschenbach in der Oberpfalz;4669;0
09335;Landkreis Eschenbach in der Oberpfalz;22058;42
09335;Landkreis Eschenbach in der Oberpfalz;22058;0
09335;Landkreis Eschenbach in der Oberpfalz;22058;0
09335;Landkreis Eschenbach in der Oberpfalz;22058;0
09335;Landkreis Eschenbach in der Oberpfalz;22058;0
09335;Landkreis Eschenbach in der Oberpfalz;22058;0
09335;Landkreis Eschenbach in der Oberpfalz;23494;45
09335;Landkreis Eschenbach in der Oberpfalz;23494;0
09335;Landkreis Eschenbach in der Oberpfalz;23494;0
09335;Landkreis Eschenbach in der Oberpfalz;23494;0
09335;Landkreis Eschenbach in der Oberpfalz;23494;0
09335;Landkreis Eschenbach in der Oberpfalz;23494;0
09335;Landkreis Eschenbach in der Oberpfalz;24725;47
09335;Landkreis Eschenbach in der Oberpfalz;24725;0
09335;Landkreis Eschenbach in der Oberpfalz;24725;0
09335;Landkreis Eschenbach in der Oberpfalz;24725;0
09335;Landkreis Eschenbach in der Oberpfalz;24725;0
09335;Landkreis Eschenbach in der Oberpfalz;24725;0
09335;Landkreis Eschenbach in der Oberpfalz;34040;65
09335;Landkreis Eschenbach in der Oberpfalz;34040;0
09335;Landkreis Eschenbach in der Oberpfalz;34040;0
09335;Landkreis Eschenbach in der Oberpfalz;34040;0
09335;Landkreis Eschenbach in der Oberpfalz;34040;0
09335;Landkreis Eschenbach in der Oberpfalz;34040;0
09335;Landkreis Eschenbach in der Oberpfalz;35478;68
09335;Landkreis Eschenbach in der Oberpfalz;35478;0
09335;Landkreis Eschenbach in der Oberpfalz;35478;0
09335;Landkreis Eschenbach in der Oberpfalz;35478;0
09335;Landkreis Eschenbach in der Oberpfalz;35478;0
09335;Landkreis Eschenbach in der Oberpfalz;35478;0
08116;Landkreis Esslingen;524127;817
09474;Landkreis Forchheim;97433;231
09474;Landkreis Forchheim;97433;151
09474;Landkreis Forchheim;97433;2
09474;Landkreis Forchheim;97433;2
09474;Landkreis Forchheim;97433;2
09474;Landkreis Forchheim;97433;2
09474;Landkreis Forchheim;97433;2
09178;Landkreis Freising;118518;148
08237;Landkreis Freudenstadt;115055;132
09272;Landkreis Freyung-Grafenau;75564;76
06139;Landkreis Friedberg;177334;309
03455;Landkreis Friesland;97900;161
06631;Landkreis Fulda;216093;156
09179;Landkreis Fürstenfeldbruck;172760;397
09573;Landkreis Fürth;116193;377
09180;Landkreis Garmisch-Partenkirchen;78782;99
09180;Landkreis Garmisch-Partenkirchen;78782;77
09180;Landkreis Garmisch-Partenkirchen;78782;0
09180;Landkreis Garmisch-Partenkirchen;78782;0
09180;Landkreis Garmisch-Partenkirchen;78782;0
09180;Landkreis Garmisch-Partenkirchen;78782;0
09180;Landkreis Garmisch-Partenkirchen;78782;0
07334;Landkreis Germersheim;124889;269
06531;Landkreis Gießen;253041;296
03151;Landkreis Gifhorn;174749;111
03153;Landkreis Goslar;137979;142
16067;Landkreis Gotha;136831;146
09235;Landkreis Grafenau;27681;72
09235;Landkreis Grafenau;27681;0
09235;Landkreis Grafenau;27681;0
09235;Landkreis Grafenau;27681;0
09235;Landkreis Grafenau;27681;0
09235;Landkreis Grafenau;27681;0
03456;Landkreis Grafschaft Bentheim;135770;138
16076;Landkreis Greiz;101114;119
09236;Landkreis Griesbach im Rottal;40463;79
09236;Landkreis Griesbach im Rottal;40463;0
09236;Landkreis Griesbach im Rottal;40463;0
09236;Landkreis Griesbach im Rottal;40463;0
09236;Landkreis Griesbach im Rottal;40463;0
09236;Landkreis Griesbach im Rottal;40463;0
08117;Landkreis Göppingen;252749;393
14626;Landkreis Görlitz;258337;122
03159;Landkreis Göttingen;327065;292
09774;Landkreis Günzburg;107120;140
03252;Landkreis Hameln-Pyrmont;148265;186
06143;Landkreis Hanau;154700;528
15085;Landkreis Harz;223094;106235
15085;Landkreis Harz;223094;1
12063;Landkreis Havelland;153294;89
09674;Landkreis Haßberge;80257;83
03358;Landkreis Heidekreis;139641;74
08135;Landkreis Heidenheim;130527;208
08125;Landkreis Heilbronn;334388;304
03154;Landkreis Helmstedt;92079;136
06235;Landkreis Hersfeld;76500;136
06632;Landkreis Hersfeld-Rotenburg;120165;109
16069;Landkreis Hildburghausen;64524;68
03254;Landkreis Hildesheim;277300;229
09475;Landkreis Hof;105628;388
09475;Landkreis Hof;105628;118
09475;Landkreis Hof;105628;3
09475;Landkreis Hof;105628;3
09475;Landkreis Hof;105628;3
09475;Landkreis Hof;105628;3
09475;Landkreis Hof;105628;3
03255;Landkreis Holzminden;71510;103
09436;Landkreis Höchstadt an der Aisch;27195;55
09436;Landkreis Höchstadt an der Aisch;27195;0
09436;Landkreis Höchstadt an der Aisch;27195;0
09436;Landkreis Höchstadt an der Aisch;27195;0
09436;Landkreis Höchstadt an der Aisch;27195;0
09436;Landkreis Höchstadt an der Aisch;27195;0
09436;Landkreis Höchstadt an der Aisch;27365;55
09436;Landkreis Höchstadt an der Aisch;27365;0
09436;Landkreis Höchstadt an der Aisch;27365;0
09436;Landkreis Höchstadt an der Aisch;27365;0
09436;Landkreis Höchstadt an der Aisch;27365;0
09436;Landkreis Höchstadt an der Aisch;27365;0
09436;Landkreis Höchstadt an der Aisch;27984;57
09436;Landkreis Höchstadt an der Aisch;27984;0
09436;Landkreis Höchstadt an der Aisch;27984;0
09436;Landkreis Höchstadt an der Aisch;27984;0
09436;Landkreis Höchstadt an der Aisch;27984;0
09436;Landkreis Höchstadt an der Aisch;27984;0
09436;Landkreis Höchstadt an der Aisch;28211;57
09436;Landkreis Höchstadt an der Aisch;28211;0
09436;Landkreis Höchstadt an der Aisch;28211;0
09436;Landkreis Höchstadt an der Aisch;28211;0
09436;Landkreis Höchstadt an der Aisch;28211;0
09436;Landkreis Höchstadt an der Aisch;28211;0
09436;Landkreis Höchstadt an der Aisch;28472;58
09436;Landkreis Höchstadt an der Aisch;28472;0
09436;Landkreis Höchstadt an der Aisch;28472;0
09436;Landkreis Höchstadt an der Aisch;28472;0
09436;Landkreis Höchstadt an der Aisch;28472;0
09436;Landkreis Höchstadt an der Aisch;28472;0
09436;Landkreis Höchstadt an der Aisch;45467;92
09436;Landkreis Höchstadt an der Aisch;45467;0
09436;Landkreis Höchstadt an der Aisch;45467;0
09436;Landkreis Höchstadt an der Aisch;45467;0
09436;Landkreis Höchstadt an der Aisch;45467;0
09436;Landkreis Höchstadt an der Aisch;45467;0
